,conf_name,energy
335,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00195.POSCAR_all_sites/CONTCAR,-360.38286721
188,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00085.POSCAR_all_sites/CONTCAR,-360.38144237
196,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00205.POSCAR_all_sites/CONTCAR,-360.38127805
12,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00235.POSCAR_all_sites/CONTCAR,-360.37811727
456,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00371.POSCAR_all_sites/CONTCAR,-360.37688673
470,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00232.POSCAR_all_sites/CONTCAR,-360.37389489
404,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00456.POSCAR_all_sites/CONTCAR,-360.37275964
278,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00500.POSCAR_all_sites/CONTCAR,-360.37201855
244,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00115.POSCAR_all_sites/CONTCAR,-360.36833059
458,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00555.POSCAR_all_sites/CONTCAR,-360.36272416
1,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00552.POSCAR_all_sites/CONTCAR,-360.36022953
98,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00372.POSCAR_all_sites/CONTCAR,-360.35861108
77,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00303.POSCAR_all_sites/CONTCAR,-360.35849327
487,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00300.POSCAR_all_sites/CONTCAR,-360.35616931
296,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00311.POSCAR_all_sites/CONTCAR,-360.3554426
345,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00587.POSCAR_all_sites/CONTCAR,-360.35434373
422,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00412.POSCAR_all_sites/CONTCAR,-360.35395209
463,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00054.POSCAR_all_sites/CONTCAR,-360.35253855
99,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00577.POSCAR_all_sites/CONTCAR,-360.3518249
237,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00091.POSCAR_all_sites/CONTCAR,-360.3516461
15,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00612.POSCAR_all_sites/CONTCAR,-360.35164546
16,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00017.POSCAR_all_sites/CONTCAR,-360.35034891
257,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00142.POSCAR_all_sites/CONTCAR,-360.34912604
304,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00034.POSCAR_all_sites/CONTCAR,-360.34900803
299,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00610.POSCAR_all_sites/CONTCAR,-360.34897397
260,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00278.POSCAR_all_sites/CONTCAR,-360.34878221
328,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00472.POSCAR_all_sites/CONTCAR,-360.34854771
428,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00375.POSCAR_all_sites/CONTCAR,-360.34815229
354,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00102.POSCAR_all_sites/CONTCAR,-360.34751313
23,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00094.POSCAR_all_sites/CONTCAR,-360.34714265
40,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00581.POSCAR_all_sites/CONTCAR,-360.34598409
419,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00014.POSCAR_all_sites/CONTCAR,-360.344011
172,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00160.POSCAR_all_sites/CONTCAR,-360.34368522
442,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00416.POSCAR_all_sites/CONTCAR,-360.34360131
368,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00099.POSCAR_all_sites/CONTCAR,-360.34011254
467,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00108.POSCAR_all_sites/CONTCAR,-360.33770273
41,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00486.POSCAR_all_sites/CONTCAR,-360.33584359
346,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00561.POSCAR_all_sites/CONTCAR,-360.3327006
339,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00011.POSCAR_all_sites/CONTCAR,-360.33174766
44,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00066.POSCAR_all_sites/CONTCAR,-360.33081504
365,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00041.POSCAR_all_sites/CONTCAR,-360.32835232
241,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00471.POSCAR_all_sites/CONTCAR,-360.32573876
198,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00006.POSCAR_all_sites/CONTCAR,-360.32525212
65,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00445.POSCAR_all_sites/CONTCAR,-360.32489456
34,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00638.POSCAR_all_sites/CONTCAR,-360.32396493
367,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00447.POSCAR_all_sites/CONTCAR,-360.32360508
457,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00388.POSCAR_all_sites/CONTCAR,-360.32356258
31,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00307.POSCAR_all_sites/CONTCAR,-360.32139857
32,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00003.POSCAR_all_sites/CONTCAR,-360.31972035
277,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00439.POSCAR_all_sites/CONTCAR,-360.31934839
347,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00167.POSCAR_all_sites/CONTCAR,-360.31933793
460,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00153.POSCAR_all_sites/CONTCAR,-360.31842633
379,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00280.POSCAR_all_sites/CONTCAR,-360.317689
271,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00583.POSCAR_all_sites/CONTCAR,-360.31664394
384,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00361.POSCAR_all_sites/CONTCAR,-360.31614209
104,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00293.POSCAR_all_sites/CONTCAR,-360.31607286
100,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00470.POSCAR_all_sites/CONTCAR,-360.31461209
338,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00614.POSCAR_all_sites/CONTCAR,-360.31448681
371,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00345.POSCAR_all_sites/CONTCAR,-360.31076016
9,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00537.POSCAR_all_sites/CONTCAR,-360.30872109
37,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00161.POSCAR_all_sites/CONTCAR,-360.30763763
395,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00641.POSCAR_all_sites/CONTCAR,-360.30706146
67,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00018.POSCAR_all_sites/CONTCAR,-360.30543907
91,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00616.POSCAR_all_sites/CONTCAR,-360.30516878
81,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00062.POSCAR_all_sites/CONTCAR,-360.30110885
90,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00512.POSCAR_all_sites/CONTCAR,-360.3003219
234,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00170.POSCAR_all_sites/CONTCAR,-360.29724194
358,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00600.POSCAR_all_sites/CONTCAR,-360.29425853
361,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00621.POSCAR_all_sites/CONTCAR,-360.29349428
424,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00393.POSCAR_all_sites/CONTCAR,-360.29010591
392,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00545.POSCAR_all_sites/CONTCAR,-360.28526018
481,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00541.POSCAR_all_sites/CONTCAR,-360.28510075
337,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00429.POSCAR_all_sites/CONTCAR,-360.28364044
213,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00543.POSCAR_all_sites/CONTCAR,-360.28180991
128,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00391.POSCAR_all_sites/CONTCAR,-360.27817065
373,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00146.POSCAR_all_sites/CONTCAR,-360.26733746
399,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00118.POSCAR_all_sites/CONTCAR,-360.26578034
233,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00548.POSCAR_all_sites/CONTCAR,-360.26505836
103,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00275.POSCAR_all_sites/CONTCAR,-360.2575352
96,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00591.POSCAR_all_sites/CONTCAR,-360.25561013
66,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00121.POSCAR_all_sites/CONTCAR,-360.25348305
348,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00364.POSCAR_all_sites/CONTCAR,-360.25286212
464,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00452.POSCAR_all_sites/CONTCAR,-360.25117998
252,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00119.POSCAR_all_sites/CONTCAR,-360.24765469
